Year,Leaf,Percent_Leaf,Leaf_Per
10,Sunlit,52.21109387,15.21822781
20,Sunlit,52.50761327,10.31546202
30,Sunlit,52.43192875,10.34801925
40,Sunlit,52.27980657,10.67379989
50,Sunlit,52.08228772,10.76020316
60,Sunlit,51.88812187,11.5039872
70,Sunlit,52.12972456,12.89424324
80,Sunlit,52.46449727,15.07244818
90,Sunlit,54.7042538,17.88710811
100,Sunlit,55.95231362,20.22478832
110,Sunlit,58.92959342,24.52994887
120,Sunlit,59.2597786,25.74283044
130,Sunlit,61.0788102,28.83741765
140,Sunlit,62.50227415,31.33506275
150,Sunlit,64.54980596,33.48693135
160,Sunlit,66.11049215,36.14877231
170,Sunlit,66.91121552,36.89942983
180,Sunlit,66.91962765,36.08473572
190,Sunlit,67.0490592,34.60398559
200,Sunlit,67.6498636,34.43394586
210,Sunlit,67.73710454,34.07571572
220,Sunlit,68.76542769,35.07208998
230,Sunlit,68.81171515,35.29277597
240,Sunlit,68.16865225,33.84911629
250,Sunlit,67.98341526,32.99946007
260,Sunlit,68.07167686,32.97442344
270,Sunlit,67.78711128,33.09664403
280,Sunlit,67.12991487,31.94716323
290,Sunlit,67.00469333,32.19702329
300,Sunlit,66.35246426,31.51717167
310,Sunlit,65.45740306,30.77510071
320,Sunlit,65.95513112,32.02094325
330,Sunlit,66.72712826,33.87880716
340,Sunlit,65.79792796,32.15879943
350,Sunlit,66.10482238,32.37474394
360,Sunlit,66.68758076,32.93754144
370,Sunlit,67.87445696,34.15507395
380,Sunlit,67.3345251,33.35273703
390,Sunlit,68.45002347,34.32521804
400,Sunlit,67.9936832,33.60388242
410,Sunlit,67.65071306,34.16588708
420,Sunlit,67.53319116,33.37481863
430,Sunlit,67.99810321,34.14252169
440,Sunlit,68.50270648,34.18883239
450,Sunlit,68.04957652,34.1281188
460,Sunlit,68.20879913,33.98409678
470,Sunlit,68.09977767,34.09758375
480,Sunlit,68.22179989,34.22291121
490,Sunlit,68.67220876,34.5875856
500,Sunlit,68.62202573,34.26796574
10,Shade,47.78890613,84.78177219
20,Shade,47.49238673,89.68453798
30,Shade,47.56807125,89.65198075
40,Shade,47.72019343,89.32620011
50,Shade,47.91771228,89.23979684
60,Shade,48.11187813,88.4960128
70,Shade,47.87027544,87.10575676
80,Shade,47.53550273,84.92755182
90,Shade,45.2957462,82.11289189
100,Shade,44.04768638,79.77521168
110,Shade,41.07040658,75.47005113
120,Shade,40.7402214,74.25716956
130,Shade,38.9211898,71.16258235
140,Shade,37.49772585,68.66493725
150,Shade,35.45019404,66.51306865
160,Shade,33.88950785,63.85122769
170,Shade,33.08878448,63.10057017
180,Shade,33.08037235,63.91526428
190,Shade,32.9509408,65.39601441
200,Shade,32.3501364,65.56605414
210,Shade,32.26289546,65.92428428
220,Shade,31.23457231,64.92791002
230,Shade,31.18828485,64.70722403
240,Shade,31.83134775,66.15088371
250,Shade,32.01658474,67.00053993
260,Shade,31.92832314,67.02557656
270,Shade,32.21288872,66.90335597
280,Shade,32.87008513,68.05283677
290,Shade,32.99530667,67.80297671
300,Shade,33.64753574,68.48282833
310,Shade,34.54259694,69.22489929
320,Shade,34.04486888,67.97905675
330,Shade,33.27287174,66.12119284
340,Shade,34.20207204,67.84120057
350,Shade,33.89517762,67.62525606
360,Shade,33.31241924,67.06245856
370,Shade,32.12554304,65.84492605
380,Shade,32.6654749,66.64726297
390,Shade,31.54997653,65.67478196
400,Shade,32.0063168,66.39611758
410,Shade,32.34928694,65.83411292
420,Shade,32.46680884,66.62518137
430,Shade,32.00189679,65.85747831
440,Shade,31.49729352,65.81116761
450,Shade,31.95042348,65.8718812
460,Shade,31.79120087,66.01590322
470,Shade,31.90022233,65.90241625
480,Shade,31.77820011,65.77708879
490,Shade,31.32779124,65.4124144
500,Shade,31.37797427,65.73203426
