Year,Case,Isoprene
0,Present,0
10,Present,6.092
20,Present,4.4459
30,Present,3.9473
40,Present,4.199
50,Present,5.1745
60,Present,6.4813
70,Present,9.0782
80,Present,12.7112
90,Present,22.619
100,Present,27.2817
110,Present,40.5756
120,Present,44.7653
130,Present,56.2365
140,Present,60.1844
150,Present,72.2447
160,Present,79.934
170,Present,95.7902
180,Present,91.878
190,Present,97.0123
200,Present,105.766
210,Present,98.8837
220,Present,102.7361
230,Present,88.2876
240,Present,88.1784
250,Present,101.256
260,Present,91.8735
270,Present,88.2333
280,Present,96.6089
290,Present,87.0609
300,Present,91.4534
310,Present,70.8959
320,Present,75.3621
330,Present,78.7282
340,Present,81.7979
350,Present,90.5595
360,Present,90.9173
370,Present,83.1659
380,Present,71.9922
390,Present,81.728
400,Present,69.9246
410,Present,75.2982
420,Present,71.9407
430,Present,80.8127
440,Present,72.3908
450,Present,85.4629
460,Present,82.3464
470,Present,85.7945
480,Present,84.594
490,Present,79.5776
500,Present,83.7219
