year,species,total_biomC
0,Other,0.85
10,Other,5.5
20,Other,5.32
30,Other,5.21
40,Other,5.32
50,Other,5.24
60,Other,4.92
70,Other,5.08
80,Other,5.43
90,Other,5.72
100,Other,5.97
110,Other,5.95
120,Other,6.08
130,Other,5.72
140,Other,6.38
150,Other,7.03
160,Other,7.06
170,Other,7.95
180,Other,6.76
190,Other,6.96
200,Other,6.11
210,Other,4.82
220,Other,3.7
230,Other,3.53
240,Other,3.96
250,Other,3.53
260,Other,2.48
270,Other,2.44
280,Other,3.2
290,Other,3.08
300,Other,3.63
310,Other,3.26
320,Other,3.9
330,Other,3.72
340,Other,3.82
350,Other,3.8
360,Other,4.69
370,Other,5.92
380,Other,5.58
390,Other,4.86
400,Other,4.51
410,Other,4.65
420,Other,5.45
430,Other,5.06
440,Other,5.03
450,Other,4.94
460,Other,4.21
470,Other,4.12
480,Other,3.94
490,Other,3.53
500,Other,4.01
0,ACERrubr,0.31
10,ACERrubr,7.85
20,ACERrubr,12.5
30,ACERrubr,14.82
40,ACERrubr,15.34
50,ACERrubr,13.84
60,ACERrubr,11.9
70,ACERrubr,9.33
80,ACERrubr,6.24
90,ACERrubr,3.11
100,ACERrubr,1.54
110,ACERrubr,1.13
120,ACERrubr,0
130,ACERrubr,0.03
140,ACERrubr,0.18
150,ACERrubr,0.71
160,ACERrubr,1.17
170,ACERrubr,1.61
180,ACERrubr,1.59
190,ACERrubr,2.2
200,ACERrubr,2.15
210,ACERrubr,1.68
220,ACERrubr,1.69
230,ACERrubr,1.06
240,ACERrubr,1.84
250,ACERrubr,3.03
260,ACERrubr,2.64
270,ACERrubr,2.35
280,ACERrubr,1.74
290,ACERrubr,1.62
300,ACERrubr,1.58
310,ACERrubr,2.4
320,ACERrubr,2.96
330,ACERrubr,3.52
340,ACERrubr,4.76
350,ACERrubr,4.29
360,ACERrubr,2.94
370,ACERrubr,1.97
380,ACERrubr,3.43
390,ACERrubr,4.12
400,ACERrubr,5.31
410,ACERrubr,4.72
420,ACERrubr,4.85
430,ACERrubr,4.61
440,ACERrubr,4.52
450,ACERrubr,4.48
460,ACERrubr,3.96
470,ACERrubr,3.14
480,ACERrubr,2.96
490,ACERrubr,3.2
500,ACERrubr,4.65
0,ACERsacc,0.25
10,ACERsacc,2.34
20,ACERsacc,3.09
30,ACERsacc,3.76
40,ACERsacc,4.39
50,ACERsacc,5.07
60,ACERsacc,5.62
70,ACERsacc,5.98
80,ACERsacc,6.04
90,ACERsacc,6.23
100,ACERsacc,6.24
110,ACERsacc,5.56
120,ACERsacc,5.74
130,ACERsacc,5.04
140,ACERsacc,5.14
150,ACERsacc,4.91
160,ACERsacc,4.47
170,ACERsacc,4.52
180,ACERsacc,4.12
190,ACERsacc,4.33
200,ACERsacc,4.64
210,ACERsacc,5.18
220,ACERsacc,5.32
230,ACERsacc,4.84
240,ACERsacc,4.41
250,ACERsacc,4.66
260,ACERsacc,3.17
270,ACERsacc,3.7
280,ACERsacc,3.92
290,ACERsacc,4.16
300,ACERsacc,4.15
310,ACERsacc,3.64
320,ACERsacc,4.34
330,ACERsacc,4.53
340,ACERsacc,4
350,ACERsacc,3.89
360,ACERsacc,3.87
370,ACERsacc,4.9
380,ACERsacc,5.4
390,ACERsacc,4.3
400,ACERsacc,4.64
410,ACERsacc,4.81
420,ACERsacc,5.12
430,ACERsacc,5.31
440,ACERsacc,4.2
450,ACERsacc,4.31
460,ACERsacc,3.6
470,ACERsacc,3.8
480,ACERsacc,4.22
490,ACERsacc,5.34
500,ACERsacc,4.9
0,CARYcord,0
10,CARYcord,0.12
20,CARYcord,0.25
30,CARYcord,0.46
40,CARYcord,0.82
50,CARYcord,1.22
60,CARYcord,1.97
70,CARYcord,2.68
80,CARYcord,3.41
90,CARYcord,3.63
100,CARYcord,3.87
110,CARYcord,4.29
120,CARYcord,4.64
130,CARYcord,5.08
140,CARYcord,4.76
150,CARYcord,4.34
160,CARYcord,3.14
170,CARYcord,2.44
180,CARYcord,2.48
190,CARYcord,2.09
200,CARYcord,1.12
210,CARYcord,1.39
220,CARYcord,1.72
230,CARYcord,2.1
240,CARYcord,2.08
250,CARYcord,2.77
260,CARYcord,3.04
270,CARYcord,3.29
280,CARYcord,3.56
290,CARYcord,3.7
300,CARYcord,4.7
310,CARYcord,4.86
320,CARYcord,5.13
330,CARYcord,5.05
340,CARYcord,3.02
350,CARYcord,3.03
360,CARYcord,3.51
370,CARYcord,3.25
380,CARYcord,3.28
390,CARYcord,3.59
400,CARYcord,3.86
410,CARYcord,4.18
420,CARYcord,4.59
430,CARYcord,3.81
440,CARYcord,3.64
450,CARYcord,3.13
460,CARYcord,3.47
470,CARYcord,3.2
480,CARYcord,3.51
490,CARYcord,3.61
500,CARYcord,3.31
0,CASTdent,0
10,CASTdent,0
20,CASTdent,0
30,CASTdent,0
40,CASTdent,0
50,CASTdent,0
60,CASTdent,0
70,CASTdent,0
80,CASTdent,0
90,CASTdent,0
100,CASTdent,0
110,CASTdent,0
120,CASTdent,0
130,CASTdent,0
140,CASTdent,0
150,CASTdent,0
160,CASTdent,0
170,CASTdent,0
180,CASTdent,0
190,CASTdent,0
200,CASTdent,0
210,CASTdent,0
220,CASTdent,0
230,CASTdent,0
240,CASTdent,0
250,CASTdent,0
260,CASTdent,0
270,CASTdent,0
280,CASTdent,0
290,CASTdent,0
300,CASTdent,0
310,CASTdent,0
320,CASTdent,0
