Year,Species,Biomass
0,Other,0.744
10,Other,5.024
20,Other,4.87
30,Other,5.272
40,Other,5.605
50,Other,5.59
60,Other,5.648
70,Other,6.014
80,Other,5.982
90,Other,6.328
100,Other,6.466
110,Other,7.217
120,Other,6.902
130,Other,5.972
140,Other,5.873
150,Other,6.54
160,Other,7.571
170,Other,8.585
180,Other,7.986
190,Other,5.784
200,Other,5.496
210,Other,4.95
220,Other,4.216
230,Other,4.334
240,Other,3.311
250,Other,3.982
260,Other,2.892
270,Other,2.953
280,Other,3.056
290,Other,3.075
300,Other,2.999
310,Other,2.239
320,Other,2.344
330,Other,2.407
340,Other,2.864
350,Other,3.858
360,Other,3.492
370,Other,3.039
380,Other,2.471
390,Other,2.372
400,Other,2.795
410,Other,2.9
420,Other,3.131
430,Other,3.561
440,Other,3.637
450,Other,3.599
460,Other,2.792
470,Other,2.717
480,Other,3.087
490,Other,3.339
500,Other,3.173
0,ACERrubr,0.268
10,ACERrubr,6.662
20,ACERrubr,9.909
30,ACERrubr,10.75
40,ACERrubr,10.628
50,ACERrubr,9.599
60,ACERrubr,8.533
70,ACERrubr,6.808
80,ACERrubr,5.051
90,ACERrubr,3.356
100,ACERrubr,2.337
110,ACERrubr,1.094
120,ACERrubr,0.483
130,ACERrubr,0
140,ACERrubr,0
150,ACERrubr,0
160,ACERrubr,0.132
170,ACERrubr,0.608
180,ACERrubr,1.169
190,ACERrubr,1.396
200,ACERrubr,0.946
210,ACERrubr,1.156
220,ACERrubr,0.795
230,ACERrubr,1.036
240,ACERrubr,1.271
250,ACERrubr,1.162
260,ACERrubr,1.617
270,ACERrubr,1.289
280,ACERrubr,0.695
290,ACERrubr,0.688
300,ACERrubr,0.926
310,ACERrubr,1.104
320,ACERrubr,1.143
330,ACERrubr,0.951
340,ACERrubr,1.114
350,ACERrubr,1.379
360,ACERrubr,1.568
370,ACERrubr,1.734
380,ACERrubr,1.42
390,ACERrubr,1.055
400,ACERrubr,1.098
410,ACERrubr,1.647
420,ACERrubr,1.322
430,ACERrubr,1.121
440,ACERrubr,1.79
450,ACERrubr,2.111
460,ACERrubr,2.386
470,ACERrubr,2.189
480,ACERrubr,2.625
490,ACERrubr,2.253
500,ACERrubr,2.001
0,ACERsacc,0.215
10,ACERsacc,2.023
20,ACERsacc,2.673
30,ACERsacc,3.446
40,ACERsacc,3.699
50,ACERsacc,4.123
60,ACERsacc,4.412
70,ACERsacc,4.588
80,ACERsacc,4.809
90,ACERsacc,4.902
100,ACERsacc,5.299
110,ACERsacc,4.96
120,ACERsacc,5.403
130,ACERsacc,4.791
140,ACERsacc,4.245
150,ACERsacc,3.407
160,ACERsacc,3.821
170,ACERsacc,3.04
180,ACERsacc,2.893
190,ACERsacc,3.086
200,ACERsacc,3.329
210,ACERsacc,3.053
220,ACERsacc,1.375
230,ACERsacc,1.183
240,ACERsacc,1.693
250,ACERsacc,1.662
260,ACERsacc,1.482
270,ACERsacc,1.395
280,ACERsacc,1.668
290,ACERsacc,1.468
300,ACERsacc,1.376
310,ACERsacc,1.051
320,ACERsacc,1.242
330,ACERsacc,0.97
340,ACERsacc,0.82
350,ACERsacc,1.031
360,ACERsacc,1.258
370,ACERsacc,1.033
380,ACERsacc,1.114
390,ACERsacc,0.807
400,ACERsacc,0.99
410,ACERsacc,1.09
420,ACERsacc,1.154
430,ACERsacc,1.32
440,ACERsacc,1.504
450,ACERsacc,1.569
460,ACERsacc,1.322
470,ACERsacc,1.233
480,ACERsacc,1.777
490,ACERsacc,1.931
500,ACERsacc,1.821
0,CARYcord,0
10,CARYcord,0
20,CARYcord,0
30,CARYcord,0
40,CARYcord,0
50,CARYcord,0
60,CARYcord,0
70,CARYcord,0
80,CARYcord,0
90,CARYcord,0
100,CARYcord,0
110,CARYcord,0
120,CARYcord,0
130,CARYcord,0
140,CARYcord,0
150,CARYcord,0
160,CARYcord,0
170,CARYcord,0
180,CARYcord,0
190,CARYcord,0
200,CARYcord,0
210,CARYcord,0
220,CARYcord,0
230,CARYcord,0
240,CARYcord,0
250,CARYcord,0
260,CARYcord,0
270,CARYcord,0
280,CARYcord,0
290,CARYcord,0
300,CARYcord,0
310,CARYcord,0
320,CARYcord,0
330,CARYcord,0
340,CARYcord,0
350,CARYcord,0
360,CARYcord,0
370,CARYcord,0
380,CARYcord,0
390,CARYcord,0
400,CARYcord,0
410,CARYcord,0
420,CARYcord,0
430,CARYcord,0
440,CARYcord,0
450,CARYcord,0
460,CARYcord,0
470,CARYcord,0
480,CARYcord,0
490,CARYcord,0
500,CARYcord,0
0,CASTdent,0.525
10,CASTdent,2.529
20,CASTdent,3.521
30,CASTdent,3.416
40,CASTdent,3.686
50,CASTdent,3.825
60,CASTdent,4.029
70,CASTdent,4.278
80,CASTdent,4.562
90,CASTdent,4.974
100,CASTdent,5.806
110,CASTdent,7.14
120,CASTdent,8.48
130,CASTdent,10.391
140,CASTdent,12.278
150,CASTdent,13.988
160,CASTdent,15.006
170,CASTdent,15.994
180,CASTdent,17.284
190,CASTdent,16.664
200,CASTdent,18.048
210,CASTdent,17.757
220,CASTdent,17.952
230,CASTdent,20
240,CASTdent,21.847
250,CASTdent,22.904
260,CASTdent,22.764
270,CASTdent,22.765
280,CASTdent,25.067
290,CASTdent,26.07
300,CASTdent,28.434
310,CASTdent,30.075
320,CASTdent,33.078
330,CASTdent,36.11
340,CASTdent,37.999
350,CASTdent,39.384
360,CASTdent,38.535
370,CASTdent,39.918
380,CASTdent,40.749
390,CASTdent,41.434
400,CASTdent,37.694
410,CASTdent,38.595
420,CASTdent,38.009
430,CASTdent,34.498
440,CASTdent,35.957
450,CASTdent,37.622
460,CASTdent,38.987
470,CASTdent,40.362
480,CASTdent,36.926
490,CASTdent,38.358
500,CASTdent,40.593
0,FAGUgran,0.004
10,FAGUgran,0.019
20,FAGUgran,0.032
30,FAGUgran,0.048
40,FAGUgran,0.068
50,FAGUgran,0.083
60,FAGUgran,0.117
70,FAGUgran,0.149
80,FAGUgran,0.201
90,FAGUgran,0.249
100,FAGUgran,0.323
110,FAGUgran,0.424
120,FAGUgran,0.578
130,FAGUgran,0.664
140,FAGUgran,0.858
150,FAGUgran,1.053
160,FAGUgran,1.397
170,FAGUgran,1.766
180,FAGUgran,2.236
190,FAGUgran,2.548
200,FAGUgran,2.853
210,FAGUgran,3.497
220,FAGUgran,3.404
230,FAGUgran,3.577
240,FAGUgran,3.664
250,FAGUgran,4.347
260,FAGUgran,4.985
270,FAGUgran,5.425
280,FAGUgran,5.871
290,FAGUgran,6.139
300,FAGUgran,6.803
310,FAGUgran,7.342
320,FAGUgran,6.634
330,FAGUgran,7.176
340,FAGUgran,7.339
350,FAGUgran,7.899
360,FAGUgran,8.587
370,FAGUgran,7.809
380,FAGUgran,7.101
390,FAGUgran,7.563
400,FAGUgran,7.074
410,FAGUgran,8.046
420,FAGUgran,7.773
430,FAGUgran,7.878
440,FAGUgran,8.007
450,FAGUgran,6.78
460,FAGUgran,6.398
470,FAGUgran,6.722
480,FAGUgran,6.75
490,FAGUgran,7.707
500,FAGUgran,8.028
0,LIRItuli,0.289
10,LIRItuli,7.047
20,LIRItuli,10.947
30,LIRItuli,16.273
40,LIRItuli,23.186
50,LIRItuli,30.433
60,LIRItuli,36.871
70,LIRItuli,42.538
80,LIRItuli,46.647
90,LIRItuli,50.487
100,LIRItuli,50.985
110,LIRItuli,44.956
120,LIRItuli,40.734
130,LIRItuli,31.977
140,LIRItuli,30.869
150,LIRItuli,28.928
160,LIRItuli,22.39
170,LIRItuli,16.19
180,LIRItuli,17.118
190,LIRItuli,12.723
200,LIRItuli,9.194
210,LIRItuli,9.048
220,LIRItuli,9.252
230,LIRItuli,5.967
240,LIRItuli,4.323
250,LIRItuli,4.7
260,LIRItuli,5.513
270,LIRItuli,5.922
280,LIRItuli,6.342
290,LIRItuli,6.164
300,LIRItuli,8.017
310,LIRItuli,8.84
320,LIRItuli,9.533
330,LIRItuli,9.425
340,LIRItuli,8.112
350,LIRItuli,6.28
360,LIRItuli,8.08
370,LIRItuli,9.148
380,LIRItuli,10.597
390,LIRItuli,10.979
400,LIRItuli,10.814
410,LIRItuli,12.586
420,LIRItuli,11.124
430,LIRItuli,13.313
440,LIRItuli,10.971
450,LIRItuli,11.189
460,LIRItuli,14.137
470,LIRItuli,16.091
480,LIRItuli,17.04
490,LIRItuli,17.217
500,LIRItuli,19.077
0,PRUNsero,0.031
10,PRUNsero,0.362
20,PRUNsero,0.555
30,PRUNsero,0.852
40,PRUNsero,1.294
50,PRUNsero,1.771
60,PRUNsero,2.238
70,PRUNsero,2.997
80,PRUNsero,3.847
90,PRUNsero,4.164
100,PRUNsero,4.874
110,PRUNsero,6.068
120,PRUNsero,6.563
130,PRUNsero,6.606
140,PRUNsero,7.156
150,PRUNsero,7.099
160,PRUNsero,7.768
170,PRUNsero,8.237
180,PRUNsero,8.42
190,PRUNsero,8.88
200,PRUNsero,8.709
210,PRUNsero,8.959
220,PRUNsero,8.561
230,PRUNsero,7.815
240,PRUNsero,7.596
250,PRUNsero,7.362
260,PRUNsero,7.682
270,PRUNsero,6.911
280,PRUNsero,7.151
290,PRUNsero,5.332
300,PRUNsero,4.594
310,PRUNsero,2.829
320,PRUNsero,3.096
330,PRUNsero,2.592
340,PRUNsero,2.893
350,PRUNsero,2.927
360,PRUNsero,1.432
370,PRUNsero,0.402
380,PRUNsero,0.555
390,PRUNsero,0.591
400,PRUNsero,0.688
410,PRUNsero,0.915
420,PRUNsero,0.907
430,PRUNsero,1.01
440,PRUNsero,1.134
450,PRUNsero,1.355
460,PRUNsero,0.901
470,PRUNsero,0.793
480,PRUNsero,1.014
490,PRUNsero,1.178
500,PRUNsero,1.337
0,QUERalba,0.032
10,QUERalba,0.233
20,QUERalba,0.359
30,QUERalba,0.498
40,QUERalba,0.645
50,QUERalba,0.853
60,QUERalba,1.1
70,QUERalba,1.403
80,QUERalba,1.757
90,QUERalba,2.166
100,QUERalba,2.808
110,QUERalba,3.502
120,QUERalba,4.337
130,QUERalba,5.522
140,QUERalba,6.936
150,QUERalba,8.215
160,QUERalba,9.226
170,QUERalba,11.232
180,QUERalba,13.276
190,QUERalba,14.75
200,QUERalba,16.256
210,QUERalba,16.345
220,QUERalba,16.749
230,QUERalba,18.646
240,QUERalba,17.774
250,QUERalba,18.945
260,QUERalba,17.43
270,QUERalba,16.047
280,QUERalba,15.366
290,QUERalba,14.05
300,QUERalba,15.502
310,QUERalba,14.612
320,QUERalba,13.757
330,QUERalba,14.314
340,QUERalba,13.143
350,QUERalba,13.29
360,QUERalba,12.764
370,QUERalba,14.125
380,QUERalba,15.178
390,QUERalba,13.266
400,QUERalba,12.326
410,QUERalba,11.74
420,QUERalba,12.586
430,QUERalba,13.244
440,QUERalba,13.455
450,QUERalba,13.969
460,QUERalba,13.203
470,QUERalba,12.566
480,QUERalba,12.42
490,QUERalba,12.482
500,QUERalba,13.597
0,QUERprin,0.036
10,QUERprin,0.207
20,QUERprin,0.339
30,QUERprin,0.405
40,QUERprin,0.514
50,QUERprin,0.592
60,QUERprin,0.775
70,QUERprin,0.912
80,QUERprin,1.115
90,QUERprin,1.382
100,QUERprin,1.77
110,QUERprin,2.102
120,QUERprin,2.53
130,QUERprin,2.442
140,QUERprin,2.656
150,QUERprin,2.913
160,QUERprin,3.115
170,QUERprin,3.226
180,QUERprin,3.848
190,QUERprin,3.761
200,QUERprin,3.75
210,QUERprin,4.078
220,QUERprin,4.357
230,QUERprin,4.403
240,QUERprin,4.122
250,QUERprin,3.563
260,QUERprin,3.528
270,QUERprin,4.202
280,QUERprin,4.82
290,QUERprin,5.111
300,QUERprin,5.277
310,QUERprin,5.534
320,QUERprin,5.139
330,QUERprin,5.493
340,QUERprin,5.452
350,QUERprin,5.805
360,QUERprin,6.363
370,QUERprin,5.268
380,QUERprin,4.655
390,QUERprin,3.638
400,QUERprin,4.074
410,QUERprin,4.103
420,QUERprin,2.538
430,QUERprin,2.891
440,QUERprin,2.353
450,QUERprin,2.332
460,QUERprin,2.174
470,QUERprin,2.043
480,QUERprin,1.865
490,QUERprin,2.098
500,QUERprin,2.238
0,QUERrubr,0.03
10,QUERrubr,0.259
20,QUERrubr,0.474
30,QUERrubr,0.709
40,QUERrubr,1.107
50,QUERrubr,1.627
60,QUERrubr,2.274
70,QUERrubr,3.218
80,QUERrubr,4.504
90,QUERrubr,5.569
100,QUERrubr,6.843
110,QUERrubr,8.586
120,QUERrubr,10.35
130,QUERrubr,11.505
140,QUERrubr,12.975
150,QUERrubr,15.016
160,QUERrubr,15.976
